,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[19674],-0.605407,0.000158574,0.00814095,0.0079253,-0.618989,-0.605439,-0.592068,2675.65,2994.47,4.97212,1.00159
log_lik[19675],-1.33114,0.000225342,0.0111451,0.0110389,-1.34954,-1.33098,-1.31248,2480.11,2723.79,4.60875,1.00107
log_lik[19676],-0.675896,0.000158977,0.00808663,0.00788037,-0.689379,-0.675917,-0.66263,2623.96,2914.51,4.87606,1.00132
log_lik[19677],-1.19575,0.000122351,0.00624338,0.00635405,-1.2061,-1.19565,-1.18565,2657.79,2943.64,4.93893,1.00022
log_lik[19678],-0.975567,0.000126002,0.00649056,0.0065994,-0.986311,-0.975462,-0.965109,2707.54,2970.85,5.03137,1.00042
log_lik[19679],-1.54346,0.000187478,0.00945626,0.00960339,-1.5589,-1.54352,-1.5279,2592.29,3037.86,4.81721,1.00024
log_lik[19680],-0.758502,0.000127529,0.00669326,0.00677169,-0.76957,-0.758416,-0.747693,2812.12,3035.41,5.22572,1.00065
log_lik[19681],-1.04871,0.000124961,0.00641212,0.00651254,-1.05931,-1.04863,-1.0384,2687.1,2970.78,4.99339,1.0003
log_lik[19682],-1.46793,0.000184652,0.00933399,0.0094753,-1.48313,-1.46801,-1.45257,2603.88,3038.29,4.83874,1.00024
log_lik[19683],-3.05427,7.45087e-05,0.00376965,0.00382266,-3.06064,-3.05416,-3.04828,2624.97,2989.05,4.87793,1.00023
log_lik[19684],-0.601333,0.000129761,0.00763187,0.00751063,-0.613844,-0.601381,-0.588598,3492.76,3186.61,6.49053,1.00041
log_lik[19685],-0.891848,0.000157117,0.00785555,0.00776005,-0.905025,-0.891883,-0.87899,2534.97,2734.8,4.7107,1.00117
log_lik[19686],-0.225969,0.000138212,0.00833655,0.00826457,-0.239433,-0.226021,-0.212009,3589.8,3506.14,6.67087,1.00156
log_lik[19687],-1.09967,0.000211301,0.0105881,0.0103823,-1.11716,-1.09954,-1.08208,2546.51,2774.73,4.73213,1.0011
log_lik[19688],-0.819284,0.000158154,0.00794248,0.00777917,-0.832597,-0.819324,-0.806286,2556.12,2775.43,4.75,1.00114
log_lik[19689],-0.975567,0.000126002,0.00649056,0.0065994,-0.986311,-0.975462,-0.965109,2707.54,2970.85,5.03137,1.00042
log_lik[19690],-0.975567,0.000126002,0.00649056,0.0065994,-0.986311,-0.975462,-0.965109,2707.54,2970.85,5.03137,1.00042
log_lik[19691],-1.54346,0.000187478,0.00945626,0.00960339,-1.5589,-1.54352,-1.5279,2592.29,3037.86,4.81721,1.00024
